Title,Company,Location,Salary,Job Type,Description,Date Posted
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,"Reserve Force members usually serve part time at an Air Force wing in their community, and may serve while going to school or working at a civilian job.",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",4
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Retail Supervisor,Value Village,"St. John's, NL",N/A,,  ,30
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,  ,25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,  ,11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time, ,7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,  ,30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,  ,30
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,,4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,,4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,,
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,,4
Aerospace Control Operator,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,,4
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,  ,25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,  ,11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time, ,7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,  ,30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,  ,30
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",20.0,"Full-time
+1",,4
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,,4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Material Management Technician (Air Force Reserve),Canadian Armed Forces,Newfoundland and Labrador,N/A,Part-time,,4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,,
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,,4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,,
Administrateur / Administratrice des services financiers (Réserve navale),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,,4
Kitchen Support Associate,fruitfull creations,"Gander, NL",15.0,Full-time,"Must be willing to learn all aspects of the store which include taking orders, cutting fruit, preparing/assembling fruit arrangements and platters, stocking…  ",1
Retail Supervisor,Value Village,"St. John's, NL",N/A,,"And, they continuously develop and empower their Team Members. Our training department / Savers University develops and delivers robust training to every team…   ",30
Site Superintendent,rcs Construction,"St. John's, NL",N/A,Full-time,"Red Seal, Gold Seal and/or CM Lean certification would be considered assets. Promote and maintain the rcs safety program “Safety First & Always” at all times.   ",25
Sales Representative,Parkway Hyundai,"Corner Brook, NL",N/A,Full-time,"Have a valid driver’s license and be able to provide an acceptable driver’s abstract. Schedule appointments for test drives, deliveries and ensure preparedness…   ",11
Safety Advisor - Regional,Newfoundland and Labrador Construction Safety...,"Gander, NL",1.0,Full-time,"It's crucial that you're well-versed in the Certificate of Recognition™ (COR™) Program, and being a WorkplaceNL certified instructor for training standards such…  ",7
Dish Washer/Delivery Driver,"Boston Pizza International, Inc.","St. John's, NL",N/A,,"Management Training Programs, Leadership Development conferences and access to dynamic mentorship programs and initiatives.   ",30
Plant Maintenance Technician,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"The repair and service of equipment as per maintenance schedule. Reporting to the Plant Manager, the General Plant Maintenance Worker will be responsible for:   ",30
Painter - Flood/Fire Restoration,On Side Restoration,"St. John's, NL",20.0,"Full-time
+1","Valid driver’s licence and a clean criminal record (we do check). We also love that we’re able to provide an employee assistance program, *excellent health plan…",4
Spécialiste en renseignement d’origine électromagnétique,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de spécialiste en renseignement d’origine électromagnétique, visitez https://forces.ca/fr, parlez à un recruteur au…",4
Assistant Manager,Kent Building Supplies,"St. John's, NL",N/A,Full-time,Continuous learning through a tailored development plan. Growth and development opportunities through Kent and the greater J.D.,4
Artilleur / Artilleuse (Réserve de l'Armée),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"À la fin de la QMB, les artilleurs(euses) se rendent à l’École du Régiment royal de l’Artillerie canadienne à Gagetown, au Nouveau-Brunswick, pour suivre un…",4
Naval Warfare Officer,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"Due to the requirement for Regular Force CAF officers to obtain a university degree, the CAF will pay successful recruits to complete a bachelor’s program in…",
Technicien(ne) de gestion du matériel (Réserve aérienne),Forces Armées Canadienne,Newfoundland and Labrador,N/A,Part-time,"En règle générale, les membres de la Force de réserve effectuent leur service à temps partiel au sein de leur unité d’appartenance, mais ils peuvent également…",4
Meteorological Technician,Canadian Armed Forces,Newfoundland and Labrador,N/A,Full-time,"If you already have a university or college diploma, the CAF will decide if your academic program matches the criteria for this job and may place you directly…",
Technicien/technicienne en structures d’aéronefs,Forces armées canadiennes,Newfoundland and Labrador,N/A,Full-time,"Pour en savoir davantage au sujet du métier de technicien/technicienne en structures d’aéronefs, visitez le site http://www.forces.ca/fr, parlez à un recruteur…",4
Kitchen Support Associate,fruitfull creations,"Gander, NL",15.0,Full-time,"Must be willing to learn all aspects of the store which include taking orders, cutting fruit, preparing/assembling fruit arrangements and platters, stocking…  ",1
Retail Supervisor,Value Village,"St. John's, NL",N/A,,"With our aggressive store expansion plans, we recognize the importance of the continued growth and development of our team members.   ",30
